,Comments,Scraped Comments,Reads,Votes,Chapter Name,Chapter,Part,Username,Date,Original,Text,Negative,Neutral,Positive,Compound
24,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,TheAnnoyingBitch,2020-07-20,"Um  I don't know if this is just for your book or if it is what you've read in general but Demeter wasn't ""obsessed"" with Persephone. She was the embodiment of every Greek mother of the times that suffered the loss of her daughter when that daughter got married. During that period  when the daughter got married  she usually moved far away and never saw her mother again. Also  marriage many times equalled a quick death (either from childbirth or an illness) so  it is pretty evident why Demeter chose to protect her daughter.
","um  i don't know if this is just for your book or if it is what you've read in general but demeter wasn't ""obsessed"" with persephone. she was the embodiment of every greek mother of the times that suffered the loss of her daughter when that daughter got married. during that period  when the daughter got married  she usually moved far away and never saw her mother again. also  marriage many times equalled a quick death (either from childbirth or an illness) so  it is pretty evident why demeter chose to protect her daughter. ",0.117,0.808,0.075,-0.6709
25,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,TheAnnoyingBitch,2020-07-20,"Hades was actually the oldest and Zeus was the youngest  hence why he was the one to free his siblings from Kronos
",hades was actually the oldest and zeus was the youngest  hence why he was the one to free his siblings from kronos ,0.0,0.864,0.136,0.5106
26,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,sweet-ghosts,2020-07-20,"Damn  I'm hyped
",damn  i'm hyped ,0.574,0.426,0.0,-0.4019
27,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,daisy_nightmares,2020-07-17,"Dont be shy drop the @ we'll deal with them for u❤️ jk ily
",dont be shy drop the @ we'll deal with them for u red heart selector  jk ily ,0.0,0.527,0.473,0.834
28,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,daisy_nightmares,2020-07-17,"I can imagine bella as a goddess😂
",i can imagine bella as a goddess face with tears of joy  ,0.139,0.584,0.277,0.4404
29,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,daisy_nightmares,2020-07-17,"is that phoebe
",is that phoebe ,0.0,1.0,0.0,0.0
30,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,daisy_nightmares,2020-07-17,"Correct me if im wrong  didnt zeus sleep with his daughter persephone O_o
",correct me if im wrong  didnt zeus sleep with his daughter persephone o o ,0.22,0.78,0.0,-0.4767
31,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,daisy_nightmares,2020-07-17,"Hades is my favourite ✨
",hades is my favourite  sparkles  ,0.0,0.635,0.365,0.3182
32,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,daisy_nightmares,2020-07-17,"I will always sincerely hate apollo❤️
",i will always sincerely hate apollo red heart selector  ,0.289,0.469,0.242,-0.1531
33,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,daisy_nightmares,2020-07-17,"I am OBSESSED with it😭
",i am obsessed with it loudly crying face  ,0.525,0.475,0.0,-0.6739
34,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,daisy_nightmares,2020-07-17,"SEGOVIA AMILL😭💕
",segovia amill loudly crying face  two hearts  ,0.341,0.659,0.0,-0.4767
35,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,daisy_nightmares,2020-07-17,"JAJJSNZMZ I MADE A SHORT BOOK ABOUT THEM IN MY NOTES LMAOO
",jajjsnzmz i made a short book about them in my notes lmaoo ,0.0,1.0,0.0,0.0
36,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,daisy_nightmares,2020-07-17,"Persephone!!!
",persephone!!! ,0.0,1.0,0.0,0.0
37,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,daisy_nightmares,2020-07-17,"JWJSJ NOW IM HERE
",jwjsj now im here ,0.0,1.0,0.0,0.0
38,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,YouTopiaOfficial,2020-07-09,"Thank you so much for not glorifying or romanticising abuse!
",thank you so much for not glorifying or romanticising abuse! ,0.547,0.32,0.133,-0.8301
39,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,angvstvi,2020-07-02,"lana !!!
",lana !!! ,0.0,1.0,0.0,0.0
